CID,a
1_2_3_4-Tetramethylbenzene,244.3
2_2-Dimethyl-1-propanol,244.3
Methyl trichlorothioacrylate,244.9
Pentyl propanoate,245.2
Caproic acid methylester,245.3
Butylcyclopentane,245.35
1-Chloroheptane,245.4
Cyclohexylacetate,245.4
2_3_3-Trimethylpentane,245.56
2_2_3-Trimethylpentane,245.6
3-Methyl-2-butanol,245.9
3-Methylhexanal,246.0
Ethylbenzoate,246.0
n-Hexylamine,246.0
4-Heptanone,246.3
3_3-Dimethylhexane,246.6
2-Ethyl-1-butanol,246.65
t-Amyl alcohol,247.3
2_3_4-Trimethylpentane,247.32
2-Methyl-1-pentanol,248.4
Phthaloyl chloride,248.5
Methyl m-toluate,248.7
N_N-Dimethyl-1_3-propanediamine,248.71
1-Methoxy-2-propoxyethane,248.9
Ethyl 2_3-dichloropropanoate,248.9
1-Phenyl-1H-imidazole,249.1
2_5-Dimethylhexane,249.2
1_1-Dimethylindane,249.4
1-Bromoheptane,249.41
3-Methylheptane,250.2
4-Chloronitrobenzene,250.2
Benzylacetate,250.2
Cycloheptanol,250.22
n-Butylacrylate,251.0
4-Methylheptane,251.08
Isopentylacetate,251.2
Pinane,251.26
Ethyl 2_2-dimethylpropionate,251.5
1-Iodoheptane,251.8
2_7-Dimethylnaphthalene,251.85
Isooctane,252.0
2-Phenylethanol,252.64
Di-n-propylamine,252.7
1_1-Dimethoxy-3-cyanopropane,253.6
Diethylenetriamine,254.0
Ethyllactate,254.0
Carene,254.26
trans-Decahydroquinoline,254.81
2_4-Dinitrotoluene,255.2
Octane,255.68
Hexamethyldisilane,256.1
2-Hexanol,256.31
Ethyl valerate,256.81
Paraldehyde,257.3
1-Phenylethanol,257.45
Limonene,257.8
1_3-Dimethyladamantane,258.31
Nitrocyclohexane,258.32
2_5_6-Trimethyl-2-cyclohexen-1-one,258.4
1-Ethyladamantane,258.45
2_4_6-Trimethyl-2-cyclohexen-1-one,258.6
cis-Bicyclo(4_2_0)octane,258.6
2-(Isopropylamino)ethanol,258.82
Dimethylmalonic acid dimethylester,259.3
n-Heptylmercaptan,259.32
1_2-Diethoxyethane,259.4
2_4-Dibromophenol,259.4
n-Octanal,259.4
Biphenyl,259.54
4-Ethylacetophenone,260.7
Diethyloxalate,260.7
Dimethyl methylmalonate,261.7
Perfluorotoluene,262.3
Dipropyldisulfide,262.46
trans-2-Methylcyclohexanol,262.98
2-Methyl-2_4-pentanediol,263.1
Dimethylmaleate,263.2
1-Ethyl-3-methylimidazolium bromide,264.8
t-Butylcyclohexane,264.8
3-Phenylpropylamine,265.59
Cyclohexaneethanol,266.0
Diphenylmethane,266.1
2_2_4_4-Tetramethylpentane,266.3
1-Heptanoic acid,267.31
2-Ethylhexanal,267.8
6-Methyl-5-hepten-2-one,268.8
cis-2-Methylcyclohexanol,268.95
Ethyleneglycol diacetate,269.2
3-Hexanol,269.27
1-Hexen-3-ol,269.3
Fenchon,269.8
Benzyl methacrylate,269.9
1-Nonene,270.36
Glutaric acid,270.5
Eucalyptol,270.72
Butylcyclohexane,271.04
Diphenylsulfide,271.1
Camphor,271.2
2_2_3_3-Tetramethylpentane,271.5
Ethyl cyclohexanecarboxylate,271.5
2-n-Butoxyethanol,271.66
(2_2-Dimethylpropyl)benzene,271.9
1-Bromooctane,272.16
4-Methyl-2-pentanol,272.34
3_3-Dinitroazetidinium nitrate,272.95
Pentafluoronitrobenzene,272.96
1-Phenyl-1-methylsilacyclobutane,273.2
2-Octanone,273.26
2-t-Butoxyethanol,273.45
n-Butylmethacrylate,273.8
1_2-Dimethoxybenzene,274.0
Diglyme,274.1
N_N-Diethylaniline,274.5
1-Chlorooctane,274.7
1-Heptanol,274.81
Pulegone,274.9
Dipropyl carbonate,275.55
2-Methylbiphenyl,275.77
3-Methyl-2-pentanol,275.89
Phenylglycidyl ether,276.0
Diisobutyl ether,276.08
Di-t-butylether,276.1
n-Pentylacetate,276.1
Di-n-butylether,278.16
3_3-Diethylpentane,278.2
1_2_3_4-Tetrahydrophenanthrene,278.26
2-Methoxyphenylacetate,278.5
1-Methylcyclohexanol,279.05
N_N-Dimethyl-o-toluidine,280.3
3-Phenyl-1-propanol,280.74
Diethylethanolamine,281.2
1-Propyl-3-methylimidazolium bromide,281.4
1-Ethyl-3-methylimidazolium thiocyanate,281.45
Di-t-butylsulfide,281.74
1-Butoxy-2-methoxyethane,282.0
n-Butylbutyrate,282.0
N-Cyclopentylpiperidine,282.02
n-Hexylacetate,282.8
Dicyclohexyl,283.0
Ethyl salicylate,283.07
Butyric anhydride,283.7
Di-n-butylsulfide,284.34
Nonane,284.43
1-Naphthol,284.5
Dimethylphenylvinylsilane,284.8
1-Piperazineethanamine,284.9
Diethylmalonate,285.0
1-Heptanoic acid methylester,285.1
Isopentyl propanoate,285.2
Ethyl 3-phenylpropanoate,286.6
cis_trans_trans-1_5_9-Cyclododecatriene,287.76
N-Cyclohexylpiperidine,287.76
2_4-Toluene diisocyanate,287.8
4-Carbomethoxyhomocubane,288.0
2-Methyl-2-pentanol,289.03
Benzophenone,289.59
5-Trimethylsilyl-2-norbornene,290.4
Chlorodiphenylmethane,290.4
n-Nonanal,290.4
Di-n-butylamine,292.9
Cyclohexanepropanol,293.0
1-Ethylpyridinium hexafluorophosphate,293.04
1_2-Hexanediol,293.1
3-Methyl-3-pentanol,293.3
Hexamethylene diisocyanate,294.0
Phenoxyethanol,294.63
1_1-Diphenylethane,295.0
5-Methyl-2-hexanol,295.2
3_3'-Dimethylbiphenyl,295.45
1-Ethyl-3-methylimidazolium hydrogen sulfate,295.5
5-Methyl-2-heptanol,296.2
Cinnamic acid ethylester,296.36
1-Chlorononane,296.44
1-Methyl-2-benzylbenzene,296.58
1_7-Heptanediol,297.0
Diisobutylketone,297.3
3-Methyl-2-heptanol,297.5
Diphenylacetylene,297.5
Tetraethylsilane,297.7
2_2'-Dimethylbiphenyl,298.06
1_4-Dibromo-2_3-dichlorohexafluorobutane,298.5
2-Heptanol,298.63
1_1-Diphenylethylene,299.2
2_3-Dihydro-1_1_4_6-tetramethyl-1H-indene,299.6
n-Octylmercaptan,300.4
Cyclohexyl butyrate,300.7
N-(2-Trimethylsilylethyl)ethylenimine,300.8
1-Decene,300.83
Tripropylamine,301.0
Benzhydrylamine,301.2
N-Methyldiphenylamine,301.2
n-Octylamine,302.0
1_1_4_7-Tetramethylindane,302.5
2-Ethylbiphenyl,302.73
1_2-Dimethylphthalate,303.1
5-Nonanone,303.6
Caprylic acid,304.0
5-Methyl-1-heptanol,304.2
Citral,304.6
Diphenylcarbodiimide,304.6
N -(2-Trimethylsilylethyl)trimethylenimine,304.6
1-Ethyl-3-methylimidazolium tetrafluoroborate,305.0
4-Heptanol,306.77
2-Hydroxyethyl-2'_2'-dimethylpropionate,308.0
1-Bromononane,308.32
3-Methylnonane,308.99
1_2-Dipropoxyethane,309.0
Hexamethyldisiloxane,309.09
4-Methyl-3-heptanol,309.2
6-Methyl-3-heptanol,310.5
2_4_5-Trinitrotoluene,311.7
Pentyl butanoate,311.7
1-Octanol,312.1
Benzyldimethylvinylsilane,312.2
4-Methyl-2-heptanol,312.5
2-Methyl-1-heptanol,313.0
2-Methylnonane,313.3
2-Methyl-2-hexanol,313.54
Di-t-butyldisulfide,313.63
1-Butyl-3-methylimidazolium iodide,314.0
