CID,rank,n_in,ms,dg_2,dg_3,dg_in_2,bd_in_2,na_in_C4,na_ex_C4,na_ex_O2,na_ex_Si4,C4_2_C4_2_2,C4_2_C4_3_2,FC_2_C4_0_H1_1_/_1_/_0_0,FC_9_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_10_C4_0_/_/_0,LeafAC_C4_C4_1,LeafAC_C4_Si4_1,LeafAC_O2_C4_1
39,0.5,0.25,0.0960317,0.25,0.25,0.3,0,0.285714,0.222222,0,0,0,0,0,0,0,0.375,0,0
40,1,0.416667,0.154337,0.4,0.5,0.4,0,0.47619,0,0,0,0,0,0.2,0,0,0,0,0
41,0.5,0.208333,0.221612,0.25,0,0.25,0.166667,0.238095,0,0,0,0.25,0,0.2,0,0,0,0,0
42,0.5,0.208333,0.198065,0.2,0.25,0.25,0,0.238095,0.0555556,0,0,0,0,0,0,0,0,0,0
43,0.5,0.208333,0.198065,0.2,0.25,0.25,0.166667,0.238095,0.0555556,0,0,0.25,0,0.2,0,0,0.125,0,0
44,0.5,0.25,0.198065,0.3,0,0.3,0.166667,0.285714,0,0,0,0.25,0,0.2,0,0,0,0,0
45,0.5,0.25,0.181955,0.25,0.25,0.3,0.166667,0.285714,0.0555556,0,0,0,0.333333,0.1,0,0,0.125,0,0
46,0.5,0.25,0.504167,0.3,0,0.3,0.5,0.285714,0,0,0,0.75,0,0.6,0,0,0,0,0
47,0.5,0.25,0.42254,0.25,0.25,0.3,0.5,0.285714,0.0555556,0,0,0.5,0.333333,0.5,0,0,0.125,0,0
48,0.5,0.25,0.368122,0.2,0.5,0.3,0.5,0.285714,0.111111,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
49,0.5,0.25,0.368122,0.2,0.5,0.3,0.5,0.285714,0.111111,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
50,0.5,0.25,0.368122,0.2,0.5,0.3,0.5,0.285714,0.111111,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
